seq,pos,arm,affinity,wall_s,user_s,sys_s,major,minor,rss_kib,vol_ctx,invol_ctx,fs_inputs,fs_outputs,read_sectors,device_read_gib,pre_temp_c,post_temp_c,gate_busy_pct,gate_attempts,hash
1,1,A,0,46.81,273.24,8.59,88879,153876,7066928,185170,8447,86385248,104,86654064,41.319878,51.0,62.0,0,3,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
1,2,B,slot,47.36,277.97,8.13,82780,147179,7100524,183459,8557,85228896,112,85446776,40.744198,54.0,65.0,1,3,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
2,1,B,slot,47.89,276.27,8.66,86453,146297,7096148,183787,8384,85930632,120,86137128,41.073383,56.0,65.0,0,3,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
